Fecha;Temporada;Club de origen;Club Comprador;Valor pagado;Valor Estimado;Déficit;Jugador
30-07-2024;24/25;Villarreal;Chelsea;$24,500,000.00;$20,000,000.00;22,5;Filip Jørgensen
30-07-2024;24/25;Lyon;Everton;$19,500,000.00;$12,000,000.00;62,5;Jake O'Brien
29-07-2024;24/25;Bologna;Arsenal;$43,700,000.00;$45,000,000.00;-2,89;Riccardo Calafiori
22-07-2024;24/25;Everton;Aston Villa;$59,350,000.00;$50,000,000.00;18,7;Amadou Onana
22-07-2024;24/25;Atlanta;Chelsea;$10,100,000.00;$5,000,000.00;102;Caleb Wiley
19-07-2024;24/25;Hull City;Aston Villa;$16,000,000.00;$15,000,000.00;6,67;Jaden Philogene
18-07-2024;24/25;Troyes;Man City;$25,000,000.00;$50,000,000.00;-50;Savinho
18-07-2024;24/25;Lille;Man Utd;$62,000,000.00;$50,000,000.00;24;Leny Yoro
16-07-2024;24/25;West Ham;Southampton;$17,850,000.00;$9,000,000.00;98,33;Flynn Downes
14-07-2024;24/25;AZ Alkmaar;Southampton;$7,000,000.00;$12,000,000.00;-41,67;Yukinari Sugawara
14-07-2024;24/25;Bologna;Man Utd;$42,500,000.00;$50,000,000.00;-15;Joshua Zirkzee
12-07-2024;24/25;Basel;Chelsea;$14,000,000.00;$3,000,000.00;366,67;Renato Veiga
11-07-2024;24/25;Sheff Utd;Aston Villa;$16,650,000.00;$13,000,000.00;28,08;Cameron Archer
09-07-2024;24/25;Atalanta BC;Leicester;$14,000,000.00;$8,000,000.00;75;Caleb Okoli
07-07-2024;24/25;Chelsea U21;Leicester;$5,900,000.00;$300,000.00;1866,67;Michael Golding
06-07-2024;24/25;Wolves;West Ham;$47,500,000.00;$32,000,000.00;48,44;Maximilian Kilman
05-07-2024;24/25;Swansea;Southampton;$3,500,000.00;$3,800,000.00;-7,89;Nathan Wood
04-07-2024;24/25;Brentford;Arsenal;$31,900,000.00;$35,000,000.00;-8,86;David Raya
04-07-2024;24/25;Brommapojkarna;West Brom;$600,000.00;$500,000.00;20;Torbjørn Heggem
03-07-2024;24/25;Marseille;Everton;$18,000,000.00;$15,000,000.00;20;Iliman Ndiaye
03-07-2024;24/25;Peterborough;Southampton;$3,500,000.00;$3,800,000.00;-7,89;Ronnie Edwards
02-07-2024;24/25;Leicester;Chelsea;$35,400,000.00;$30,000,000.00;18;Kiernan Dewsbury-Hall
02-07-2024;24/25;Real Betis;Crystal Palace;$15,000,000.00;$15,000,000.00;0;Chadi Riad
01-07-2024;24/25;Nott'm Forest;Newcastle;$23,600,000.00;$7,000,000.00;237,14;Odysseas Vlachodimos
01-07-2024;24/25;Luton;Aston Villa;$5,900,000.00;$8,000,000.00;-26,25;Ross Barkley
01-07-2024;24/25;Rotherham;Stoke City;$1,000,000.00;$2,800,000.00;-64,29;Viktor Johansson
01-07-2024;24/25;Man City;Wolves;$5,000,000.00;$10,000,000.00;-50;Tommy Doyle
01-07-2024;24/25;Chelsea;Aston Villa;$44,500,000.00;$40,000,000.00;11,25;Ian Maatsen
01-07-2024;24/25;Man City;Southampton;$23,000,000.00;$22,000,000.00;4,55;Taylor Harwood-Bellis
01-07-2024;24/25;Columbus;Middlesbrough;$3,730,000.00;$3,000,000.00;24,33;Aidan Morris
01-07-2024;24/25;Juventus;Aston Villa;$14,000,000.00;$13,000,000.00;7,69;Samuel Iling-Junior
01-07-2024;24/25;Everton;Aston Villa;$11,800,000.00;$2,500,000.00;372;Lewis Dobbin
01-07-2024;24/25;Braga;Wolves;$15,000,000.00;$12,000,000.00;25;Rodrigo Gomes
01-07-2024;24/25;Chelsea;Newcastle;$33,000,000.00;$18,000,000.00;83,33;Lewis Hall
01-07-2024;24/25;Juventus;Aston Villa;$8,000,000.00;$7,500,000.00;6,67;Enzo Barrenechea
01-07-2024;24/25;Aston Villa;Everton;$10,700,000.00;$4,000,000.00;167,5;Tim Iroegbunam
01-07-2024;24/25;Sint-Truiden;Stoke City;$1,200,000.00;$2,200,000.00;-45,45;Eric-Junior Bocat
01-07-2024;24/25;Sporting;Leicester;$16,250,000.00;$10,000,000.00;62,5;Abdul Fatawu
01-07-2024;24/25;Aston Villa U21;Chelsea;$22,500,000.00;$1,000,000.00;2150;Omari Kellyman
01-07-2024;24/25;Barcelona;Chelsea;$6,000,000.00;$7,500,000.00;-20;Marc Guiu
01-07-2024;24/25;Palmeiras;West Ham;$23,000,000.00;$24,000,000.00;-4,17;Luís Guilherme
01-07-2024;24/25;Sport Recife;Wolves;$10,000,000.00;$2,500,000.00;300;Pedro Lima
01-02-2024;23/24;Middlesbrough;Aston Villa;$9,400,000.00;$2,800,000.00;235,71;Morgan Rogers
01-02-2024;23/24;Vitesse;Stoke City;$4,000,000.00;$3,500,000.00;14,29;Million Manhoef
01-02-2024;23/24;Adelaide United;Aston Villa;$1,500,000.00;$550,000.00;172,73;Joe Gauci
01-02-2024;23/24;Standard Liège;Sunderland;$1,800,000.00;$600,000.00;200;Romaine Mundle
01-02-2024;23/24;Blackburn;Crystal Palace;$21,100,000.00;$10,000,000.00;111;Adam Wharton
30-01-2024;23/24;Genk;Crystal Palace;$8,000,000.00;$10,000,000.00;-20;Daniel Muñoz
25-01-2024;23/24;River Plate;Man City;$18,500,000.00;$12,000,000.00;54,17;Claudio Echeverri
22-01-2024;23/24;Red Star;Aston Villa;$7,600,000.00;$2,500,000.00;204;Kosta Nedeljkovic
05-01-2024;23/24;Aston Villa U21;Middlesbrough;$2,900,000.00;$1,500,000.00;93,33;Finn Azaz
01-09-2023;23/24;Everton;Fulham;$25,700,000.00;$28,000,000.00;-8,21;Alex Iwobi
01-09-2023;23/24;Arsenal;Crystal Palace;$1,200,000.00;$8,000,000.00;-85;Rob Holding
01-09-2023;23/24;Fenerbahçe;Man Utd;$5,000,000.00;$11,000,000.00;-54,55;Altay Bayındır
01-09-2023;23/24;Zorya Lugansk;Sunderland;$2,500,000.00;$2,000,000.00;25;Nazariy Rusyn
01-09-2023;23/24;Sunderland;Southampton;$9,300,000.00;$2,800,000.00;232,14;Ross Stewart
01-09-2023;23/24;R. Strasbourg;Wolves;$15,000,000.00;$10,000,000.00;50;Jean-Ricner Bellegarde
01-09-2023;23/24;Bayern Munich;Liverpool;$40,000,000.00;$30,000,000.00;33,33;Ryan Gravenberch
01-09-2023;23/24;PSG;Sunderland;$1,000,000.00;$5,000,000.00;-80;Timothée Pembélé
01-09-2023;23/24;Man City;Chelsea;$47,000,000.00;$18,000,000.00;161,11;Cole Palmer
01-09-2023;23/24;Wolves;Man City;$62,000,000.00;$45,000,000.00;37,78;Matheus Nunes
01-09-2023;23/24;Everton;Leicester;$8,800,000.00;$5,000,000.00;76;Tom Cannon
31-08-2023;23/24;Man Utd;Crystal Palace;$17,500,000.00;$18,000,000.00;-2,78;Dean Henderson
31-08-2023;23/24;A. Klagenfurt;West Ham;$1,750,000.00;$800,000.00;118,75;Andrew Irving
31-08-2023;23/24;Girona;Wolves;$12,000,000.00;$8,000,000.00;50;Santiago Bueno
31-08-2023;23/24;Daejeon Hana C.;Stoke City;$2,000,000.00;$275,000.00;627,27;Jun-ho Bae
31-08-2023;23/24;Libertad;Wolves;$6,000,000.00;$1,900,000.00;215,79;Enso González
30-08-2023;23/24;Swansea;Fulham;$870,000.00;$400,000.00;117,5;Steven Benda
29-08-2023;23/24;Leicester;Fulham;$13,000,000.00;$25,000,000.00;-48;Timothy Castagne
29-08-2023;23/24;Udinese;Everton;$25,000,000.00;$25,000,000.00;0;Beto
27-08-2023;23/24;Ajax;West Ham;$43,000,000.00;$40,000,000.00;7,5;Mohammed Kudus
26-08-2023;23/24;New England;Chelsea;$16,000,000.00;$6,000,000.00;166,67;Djordje Petrovic
25-08-2023;23/24;Basel;Stoke City;$5,800,000.00;$4,500,000.00;28,89;Wouter Burger
24-08-2023;23/24;Stade Rennais;Man City;$60,000,000.00;$28,000,000.00;114,29;Jérémy Doku
24-08-2023;23/24;Santos;Chelsea;$16,000,000.00;$4,000,000.00;300;Deivid Washington
22-08-2023;23/24;Sampdoria;Stoke City;$2,500,000.00;$2,500,000.00;0;Mehdi Léris
22-08-2023;23/24;Stuttgart;West Ham;$20,000,000.00;$15,000,000.00;33,33;Konstantinos Mavropanos
18-08-2023;23/24;Stuttgart;Liverpool;$20,000,000.00;$6,500,000.00;207,69;Wataru Endo
18-08-2023;23/24;Southampton;Chelsea;$62,100,000.00;$32,000,000.00;94,06;Roméo Lavia
15-08-2023;23/24;Atalanta;Middlesbrough;$7,100,000.00;$1,500,000.00;373,33;Emmanuel Latte Lath
15-08-2023;23/24;Silkeborg IF;Middlesbrough;$3,000,000.00;$700,000.00;328,57;Lukas Engel
14-08-2023;23/24;Southampton;West Ham;$34,800,000.00;$38,000,000.00;-8,42;James Ward-Prowse
14-08-2023;23/24;Brighton;Chelsea;$116,000,000.00;$75,000,000.00;54,67;Moisés Caicedo
11-08-2023;23/24;Sporting;Everton;$12,500,000.00;$3,000,000.00;316,67;Youssef Chermiti
10-08-2023;23/24;Ajax;West Ham;$38,000,000.00;$35,000,000.00;8,57;Edson Álvarez
