player_id,transfer_date,transfer_season,from_club_id,to_club_id,from_club_name,to_club_name,transfer_fee,market_value_in_eur,premium_discount_pct,player_name
862297,2026-05-31,25/26,124,543,Rangers,Wolves,$0.00,"$6,000,000.00",-100.00%,Nasser Djiga
865993,2026-05-31,25/26,22,873,Derby,Crystal Palace,$0.00,"$2,200,000.00",-100.00%,David Ozoh
967319,2026-05-31,25/26,990,873,Coventry,Crystal Palace,$0.00,"$10,000,000.00",-100.00%,Romain Esse
911424,2026-04-01,25/26,9251,985,Man Utd U21,Man Utd,,"$3,000,000.00",-100.00%,Tyler Fredricson
183318,2026-02-02,25/26,762,1003,Newcastle,Leicester,$0.00,"$2,000,000.00",-100.00%,Jamaal Lascelles
250426,2026-02-02,25/26,180,543,Southampton,Wolves,"$8,100,000.00","$9,000,000.00",-10.00%,Adam Armstrong
343463,2026-02-02,25/26,237,180,RCD Mallorca,Southampton,$0.00,"$3,500,000.00",-100.00%,Cyle Larin
386047,2026-02-02,25/26,631,379,Chelsea,West Ham,$0.00,"$15,000,000.00",-100.00%,Axel Disasi
392770,2026-02-02,25/26,244,543,Marseille,Wolves,$0.00,"$18,000,000.00",-100.00%,Angel Gomes
429983,2026-02-02,25/26,543,873,Wolves,Crystal Palace,"$49,700,000.00","$40,000,000.00",24.25%,Jørgen Strand Larsen
468198,2026-02-02,25/26,180,1003,Southampton,Leicester,$0.00,"$4,000,000.00",-100.00%,Joe Aribo
581672,2026-02-02,25/26,984,405,West Brom,Aston Villa,$0.00,"$10,000,000.00",-100.00%,Samuel Iling-Junior
586834,2026-02-02,25/26,873,512,Crystal Palace,Stoke City,$0.00,"$6,000,000.00",-100.00%,Jesurun Rak-Sakyi
706815,2026-02-02,25/26,3537,31,Crawley Town,Liverpool,$0.00,"$500,000.00",-100.00%,Harvey Davies
875208,2026-02-02,25/26,371,355,Celtic,Bolton,$0.00,"$600,000.00",-100.00%,Johnny Kenny
903611,2026-02-02,25/26,58,289,RSC Anderlecht,Sunderland,"$17,340,000.00","$7,000,000.00",147.71%,Nilson Angulo
910905,2026-02-02,25/26,667,631,R. Strasbourg,Chelsea,$0.00,"$25,000,000.00",-100.00%,Mamadou Sarr
911736,2026-02-02,25/26,641,281,Middlesbrough,Man City,$0.00,"$15,000,000.00",-100.00%,Sverre Nypan
936874,2026-02-02,25/26,631,29,Chelsea,Everton,$0.00,"$22,000,000.00",-100.00%,Tyrique George
954105,2026-02-02,25/26,12124,984,Aston Villa U21,West Brom,$0.00,"$300,000.00",-100.00%,Jamaldeen Jimoh-Aloba
467563,2026-02-01,25/26,276,180,Hellas Verona,Southampton,$0.00,"$7,500,000.00",-100.00%,Armel Bella-Kotchap
605426,2026-02-01,25/26,496,289,Malmö,Sunderland,"$3,450,000.00","$500,000.00",590.00%,Melker Ellborg
203853,2026-01-31,25/26,703,11,Nott'm Forest,Arsenal,$0.00,"$15,000,000.00",-100.00%,Oleksandr Zinchenko
500689,2026-01-30,25/26,405,873,Aston Villa,Crystal Palace,$0.00,"$28,000,000.00",-100.00%,Evann Guessand
661207,2026-01-30,25/26,281,931,Man City,Fulham,"$31,200,000.00","$25,000,000.00",24.80%,Oscar Bobb
1052439,2026-01-29,25/26,667,631,R. Strasbourg,Chelsea,$0.00,"$10,000,000.00",-100.00%,Kendry Páez
204103,2026-01-28,25/26,931,379,Fulham,West Ham,"$2,300,000.00","$8,000,000.00",-71.25%,Adama Traoré
447661,2026-01-28,25/26,506,405,Juventus,Aston Villa,$0.00,"$25,000,000.00",-100.00%,Douglas Luiz
331726,2026-01-27,25/26,114,405,Besiktas,Aston Villa,"$21,000,000.00","$14,000,000.00",50.00%,Tammy Abraham
568005,2026-01-27,25/26,1237,641,Brighton,Middlesbrough,$0.00,"$5,000,000.00",-100.00%,Jeremy Sarmiento
1043003,2026-01-27,25/26,58,405,RSC Anderlecht,Aston Villa,$0.00,"$5,000,000.00",-100.00%,Yasin Özcan
1145504,2026-01-26,25/26,16,631,Dortmund,Chelsea,$0.00,"$12,000,000.00",-100.00%,Aarón Anselmino
703772,2026-01-25,25/26,1435,512,Go Ahead Eagles,Stoke City,$0.00,"$2,000,000.00",-100.00%,Milan Smit
942738,2026-01-25,25/26,5689,289,Cracovia,Sunderland,$0.00,"$700,000.00",-100.00%,Milan Aleksic
1011738,2026-01-23,25/26,1035,985,Sheff Wed,Man Utd,$0.00,"$5,000,000.00",-100.00%,Harry Amass
296582,2026-01-22,25/26,698,984,Bristol City,West Brom,,"$2,500,000.00",-100.00%,Max O'Leary
1004203,2026-01-22,25/26,26468,379,Dep. La Guaira,West Ham,$0.00,"$1,200,000.00",-100.00%,Keiber Lamadrid
387626,2026-01-21,25/26,12,405,Roma,Aston Villa,$0.00,"$18,000,000.00",-100.00%,Leon Bailey
787232,2026-01-21,25/26,6646,631,Karagümrük,Chelsea,$0.00,"$5,000,000.00",-100.00%,David Datro Fofana
392757,2026-01-19,25/26,873,281,Crystal Palace,Man City,"$23,000,000.00","$55,000,000.00",-58.18%,Marc Guéhi
731466,2026-01-19,25/26,9250,631,Chelsea U21,Chelsea,,"$550,000.00",-100.00%,Teddy Sharman-Lowe
324223,2026-01-17,25/26,358,180,Charlton,Southampton,$0.00,"$2,500,000.00",-100.00%,James Bree
646738,2026-01-16,25/26,4542,180,CyD Leonesa,Southampton,$0.00,"$2,000,000.00",-100.00%,Juan Larios
1322090,2026-01-16,25/26,5223,289,Maccabi Netanya,Sunderland,"$4,000,000.00","$375,000.00",966.67%,Jocelin Ta Bi
542796,2026-01-15,25/26,501,164,Bodø/Glimt,Blackburn,"$4,000,000.00","$2,500,000.00",60.00%,Mathias Jørgensen
845321,2026-01-15,25/26,2288,379,Swansea,West Ham,$0.00,"$1,000,000.00",-100.00%,Kaelan Casey
246351,2026-01-14,25/26,15831,5551,Selangor FC,Newcastle,,"$650,000.00",-100.00%,Zach Clough
585550,2026-01-13,25/26,180,512,Southampton,Stoke City,$0.00,"$9,000,000.00",-100.00%,Gavin Bazunu
381469,2026-01-12,25/26,1028,931,Millwall,Fulham,$0.00,"$1,000,000.00",-100.00%,Steven Benda
888639,2026-01-12,25/26,1302,985,Northampton,Man Utd,$0.00,"$150,000.00",-100.00%,Ethan Wheatley
586834,2026-01-10,25/26,126,873,C. Rizespor,Crystal Palace,$0.00,"$6,000,000.00",-100.00%,Jesurun Rak-Sakyi
583255,2026-01-09,25/26,989,281,Bournemouth,Man City,"$72,000,000.00","$65,000,000.00",10.77%,Antoine Semenyo
746833,2026-01-09,25/26,1010,631,Watford,Chelsea,$0.00,"$8,000,000.00",-100.00%,Caleb Wiley
468539,2026-01-08,25/26,27,180,Bayern Munich,Southampton,$0.00,"$2,000,000.00",-100.00%,Daniel Peretz
814848,2026-01-08,25/26,1110,873,Huddersfield,Crystal Palace,$0.00,"$550,000.00",-100.00%,Owen Goodman
817612,2026-01-07,25/26,988,931,Oxford United,Fulham,$0.00,"$1,000,000.00",-100.00%,Luke Harris
581330,2026-01-06,25/26,1237,164,Brighton,Blackburn,$0.00,"$7,000,000.00",-100.00%,Eiran Cashin
843595,2026-01-06,25/26,9265,281,Man City U21,Man City,,"$800,000.00",-100.00%,Max Alleyne
522784,2026-01-05,25/26,398,379,Lazio,West Ham,"$29,000,000.00","$25,000,000.00",16.00%,Taty Castellanos
614811,2026-01-05,25/26,1150,762,Leyton Orient,Newcastle,$0.00,"$250,000.00",-100.00%,Joe White
470607,2026-01-02,25/26,148,873,Tottenham,Crystal Palace,"$40,000,000.00","$35,000,000.00",14.29%,Brennan Johnson
817665,2026-01-02,25/26,2424,379,Gil Vicente,West Ham,"$23,000,000.00","$5,000,000.00",360.00%,Pablo
654253,2026-01-01,25/26,984,985,West Brom,Man Utd,$0.00,"$5,000,000.00",-100.00%,Toby Collyer
986298,2026-01-01,25/26,1154,180,Red Star FC,Southampton,$0.00,"$1,200,000.00",-100.00%,Joachim Kayi Sanda
1005583,2026-01-01,25/26,210,405,Grêmio,Aston Villa,"$10,000,000.00","$8,000,000.00",25.00%,Alysson
1107733,2026-01-01,25/26,466,29,Preston,Everton,$0.00,"$1,200,000.00",-100.00%,Harrison Armstrong
511534,2025-12-31,25/26,51772,641,Cincinnati,Middlesbrough,$0.00,"$3,000,000.00",-100.00%,Lukas Engel
994536,2025-12-31,25/26,15,281,Leverkusen,Man City,$0.00,"$15,000,000.00",-100.00%,Claudio Echeverri
1193867,2025-12-31,25/26,10331,543,FC Porto B,Wolves,$0.00,"$4,000,000.00",-100.00%,Pedro Lima
66100,2025-11-06,25/26,515,180,Without Club,Southampton,,"$800,000.00",-100.00%,Oriol Romeu
1081995,2025-10-27,25/26,9267,379,West Ham U21,West Ham,,"$200,000.00",-100.00%,Mohamadou Kanté
1050131,2025-09-23,25/26,26208,5551,Newcastle U21,Newcastle,,"$50,000.00",-100.00%,Lucas Scicluna
29692,2025-09-10,25/26,515,379,Without Club,West Ham,,"$500,000.00",-100.00%,Lukasz Fabianski
131996,2025-09-01,25/26,610,289,Ajax,Sunderland,"$2,900,000.00","$8,000,000.00",-63.75%,Bertrand Traoré
184573,2025-09-01,25/26,985,405,Man Utd,Aston Villa,$0.00,"$8,000,000.00",-100.00%,Victor Lindelöf
195633,2025-09-01,25/26,180,984,Southampton,West Brom,$0.00,"$2,200,000.00",-100.00%,Charlie Taylor
315858,2025-09-01,25/26,583,281,PSG,Man City,"$30,000,000.00","$40,000,000.00",-25.00%,Gianluigi Donnarumma
349066,2025-09-01,25/26,762,31,Newcastle,Liverpool,"$145,000,000.00","$120,000,000.00",20.83%,Alexander Isak
